obs;week;l_housing_price;l_ipsa;l_monetary_policy_rate;l_cash_circulation;l_inflation;l_mortgage_interest_rate;l_csi_300;l_ftse_100;l_dow_jones
31/8/2009;200902;2.419033906;7.816869924;2.085672091;13.84635023;9.973188573;1.750937475;7.556250222;8.419799964;9.084308332
7/9/2009;200903;2.678518398;7.814632725;2.013568798;13.8341449;9.971638203;1.786746927;7.566003514;8.375440623;9.044410101
14/9/2009;200904;2.501030132;7.817978424;1.990883515;13.82307191;9.969265435;1.797244399;7.600175095;8.331532532;9.0127899
21/9/2009;200905;3.035362278;7.835687223;1.98397635;13.81265389;9.96664566;1.776967269;7.630252424;8.340743533;9.009015471
28/9/2009;200906;2.601767371;7.856486222;1.981894863;13.76655602;9.963951571;1.761226376;7.658585891;8.341932503;8.999262685
5/10/2009;200907;2.611020298;7.870578122;1.931803111;13.79581438;9.961450057;1.76248015;7.727405122;8.347449762;8.988780127
12/10/2009;200908;2.623136978;7.868473755;1.685580693;13.82866926;9.959293646;1.743148766;7.752836492;8.313229906;8.941581677
19/10/2009;200909;2.497219203;7.843726151;1.598108974;13.85545581;9.957240987;1.717052696;7.735025256;8.273821847;8.899786702
26/10/2009;200912;2.459127128;7.826673637;1.117794622;13.82647467;9.953513397;1.703688989;7.748627542;8.258938107;8.902197483
2/11/2009;200913;2.596252698;7.837570269;0.913258438;13.82441047;9.951759278;1.694193204;7.788828574;8.268987458;8.942267986
9/11/2009;200918;2.485241088;7.87700342;0.679417977;13.813251;9.951921305;1.523155583;7.831842583;8.319202957;8.984656928
16/11/2009;200920;2.490822796;7.95171043;0.383095952;13.82365778;9.952582242;1.483194823;7.902559803;8.365672569;9.01700974
23/11/2009;200921;2.294690135;8.00352269;0.273871365;13.83562985;9.952463976;1.478896523;7.924740978;8.385762913;9.029835611
30/11/2009;200922;2.616403251;8.028291097;0.238633905;13.84509423;9.952112062;1.49971908;7.919464827;8.389612257;9.035764712
7/12/2009;200923;2.250862497;8.057183442;0.227815904;13.79848615;9.95169009;1.483903958;7.959595346;8.395529715;9.063066333
14/12/2009;200924;3.135875741;8.074384481;0.224547551;13.81778198;9.951193703;1.491000876;7.981457427;8.395985692;9.074098716
21/12/2009;200925;3.150709741;8.062893786;0.03972719;13.82988564;9.950557543;1.504846349;8.00249943;8.377276057;9.059191684
28/12/2009;200927;2.787833793;8.047250815;-0.177742384;13.81773884;9.949385454;1.531917027;8.059485813;8.364921676;9.046333993
4/1/2010;200931;2.314882862;8.071294771;-0.508915086;13.86821859;9.949963377;1.524775385;8.168751376;8.410604906;9.097226837
11/1/2010;200936;3.263356568;8.064250869;-0.634229001;13.82062729;9.948550853;1.516496287;8.044254209;8.460271673;9.131451697
18/1/2010;200940;3.002019285;8.103510068;-0.6751044;13.88676791;9.945528058;1.496911794;8.014013201;8.514473197;9.161794772
25/1/2010;200941;2.600341813;8.128095364;-0.687700082;13.8830873;9.944101446;1.505046041;8.046070358;8.532713398;9.177508899
1/2/2010;200942;2.337083353;8.14226683;-0.691509933;13.90487373;9.944791455;1.510569235;8.066112535;8.550273418;9.198219681
8/2/2010;200943;2.520056643;8.141381746;-0.692655725;13.9061178;9.946571833;1.498236481;8.10546807;8.560833162;9.208635941
15/2/2010;200944;3.15577088;8.12566966;-0.692999718;13.8919973;9.948679121;1.462592624;8.106441818;8.548433162;9.198392202
22/2/2010;200945;3.958932107;8.114867833;-0.69310294;13.84971231;9.950884203;1.490235668;8.133544001;8.540931981;9.198204082
1/3/2010;200946;3.494699902;8.120228577;-0.693133908;13.86498459;9.952443607;1.460112133;8.153064429;8.560019818;9.223892779
